prior	business	0.22942643391521197
prior	entertainment	0.17356608478802993
prior	politics	0.18753117206982545
prior	sports	0.22942643391521197
prior	tech	0.1800498753117207
Likelihood	tech	tv	0.5024509803921569
Likelihood	tech	future	0.33204633204633205
Likelihood	business	in	0.24554279550789926
Likelihood	politics	the	0.2334439868896546
Likelihood	tech	hands	0.2898550724637681
Likelihood	tech	of	0.26383239538641556
Likelihood	entertainment	viewers	0.581081081081081
Likelihood	tech	with	0.23178116517018166
Likelihood	politics	home	0.3743218806509946
Likelihood	entertainment	theatre	0.9090909090909091
Likelihood	tech	systems	0.898876404494382
Likelihood	tech	plasma	1.0
Likelihood	tech	high-definition	1.0
Likelihood	tech	tvs	0.9333333333333333
Likelihood	tech	and	0.25321605935499314
Likelihood	tech	digital	0.8907103825136612
Likelihood	tech	video	0.7601351351351351
Likelihood	tech	recorders	0.95
Likelihood	tech	moving	0.36231884057971014
Likelihood	tech	into	0.2456813819577735
Likelihood	tech	living	0.36486486486486486
Likelihood	tech	room	0.25925925925925924
Likelihood	tech	way	0.38587848932676516
Likelihood	tech	people	0.4710789766407119
Likelihood	tech	watch	0.5888888888888889
Likelihood	tech	will	0.26746209296544865
Likelihood	politics	be	0.29673477181592517
Likelihood	tech	radically	0.7777777777777778
Likelihood	tech	different	0.5990566037735849
Likelihood	sport	five	0.2716627634660422
Likelihood	business	years	0.2297872340425532
Likelihood	tech	time.	0.32
Likelihood	tech	that	0.3177786874061946
Likelihood	tech	is	0.2974299367170347
Likelihood	tech	according	0.45646437994722955
Likelihood	tech	to	0.25119596031183555
Likelihood	politics	an	0.2297721916732129
Likelihood	tech	expert	0.44
Likelihood	tech	panel	0.24615384615384617
Likelihood	tech	which	0.3037865748709122
Likelihood	tech	gathered	0.5945945945945946
Likelihood	sport	at	0.25182837640175526
Likelihood	business	annual	0.5782312925170068
Likelihood	tech	consumer	0.5138121546961326
Likelihood	tech	electronics	0.8840579710144928
Likelihood	entertainment	show	0.5520169851380042
Likelihood	tech	las	0.64
Likelihood	tech	vegas	0.7
Likelihood	politics	discuss	0.34615384615384615
Likelihood	tech	how	0.4200351493848858
Likelihood	tech	these	0.3720430107526882
Likelihood	tech	new	0.25452488687782804
Likelihood	tech	technologies	0.9711538461538461
Likelihood	business	impact	0.44339622641509435
Likelihood	tech	one	0.2831168831168831
Likelihood	politics	our	0.33225806451612905
Likelihood	entertainment	favourite	0.56
Likelihood	tech	pastimes.	1.0
Likelihood	business	us	0.4354005167958656
Likelihood	business	leading	0.3939393939393939
Likelihood	tech	trend	0.5769230769230769
Likelihood	tech	programmes	0.6461538461538462
Likelihood	tech	other	0.34791252485089463
Likelihood	tech	content	0.9285714285714286
Likelihood	business	delivered	0.2558139534883721
Likelihood	tech	via	0.8235294117647058
Likelihood	tech	networks	0.9393939393939394
Likelihood	sport	through	0.3076923076923077
